name_x,party,congressperson_progressiveness_score,overall_score,state,senate,name_y,code,population,land_area_km2,social_progress_index
"Levin, Andy",D,99.47,99.66,MI,False,Michigan,MI,"10,077,331","146,435",50.76
"Raskin, Jamie",D,98.49,99.12,MD,False,Maryland,MD,"6,177,224","25,142",54.47
"Jones, Mondaire",D,97.94,99.14,NY,False,New York,NY,"20,201,249","122,057",54.76
"Newman, Marie",D,97.94,99.15,IL,False,Illinois,IL,"12,812,508","143,793",52.33
"Torres, Ritchie",D,97.94,99.14,NY,False,New York,NY,"20,201,249","122,057",54.76
"Espaillat, Adriano",D,97.91,98.89,NY,False,New York,NY,"20,201,249","122,057",54.76
"Pocan, Mark",D,97.88,99.03,WI,False,Wisconsin,WI,"5,893,718","140,268",57.88
"Garcia, Jesús",D,97.33,98.98,IL,False,Illinois,IL,"12,812,508","143,793",52.33
"Pressley, Ayanna",D,97.33,97.96,MA,False,Massachusetts,MA,"7,029,917","20,202",64.82
"Jayapal, Pramila",D,97.3,99.24,WA,False,Washington,WA,"7,705,281","172,119",57.76
"DeSaulnier, Mark",D,97.13,98.92,CA,False,California,CA,"39,538,223","403,466",45.53
"Bowman, Jamaal",D,96.91,98.3,NY,False,New York,NY,"20,201,249","122,057",54.76
"Williams, Nikema",D,96.91,98.73,GA,False,Georgia,GA,"10,711,908","148,959",43.25
"Jacobs, Sara",D,96.88,98.72,CA,False,California,CA,"39,538,223","403,466",45.53
"McGovern, Jim",D,96.86,97.45,MA,False,Massachusetts,MA,"7,029,917","20,202",64.82
"Gomez, Jimmy",D,96.78,98.68,CA,False,California,CA,"39,538,223","403,466",45.53
"Chu, Judy",D,96.62,98.23,CA,False,California,CA,"39,538,223","403,466",45.53
"Schakowsky, Jan",D,96.6,98.15,IL,False,Illinois,IL,"12,812,508","143,793",52.33
"Neguse, Joe",D,96.26,98.98,CO,False,Colorado,CO,"5,773,714","268,431",56.01
"Clarke, Yvette1",D,96.25,98.28,NY,False,New York,NY,"20,201,249","122,057",54.76
"Clark, Katherine",D,96.25,98.74,MA,False,Massachusetts,MA,"7,029,917","20,202",64.82
"Grijalva, Raul",D,96.24,98.04,AZ,False,Arizona,AZ,"7,151,502","294,207",45.43
"Khanna, Ro",D,96.12,98.77,CA,False,California,CA,"39,538,223","403,466",45.53
"Auchincloss, Jake",D,95.88,98.29,MA,False,Massachusetts,MA,"7,029,917","20,202",64.82
