name,party,district,crucial_vote_score,overall_score
"Levin, Andy",D,MI-9,99.47,99.66
"Raskin, Jamie",D,MD-8,98.49,99.12
"Jones, Mondaire",D,NY-17,97.94,99.14
"Newman, Marie",D,IL-3,97.94,99.15
"Torres, Ritchie",D,NY-15,97.94,99.14
"Espaillat, Adriano",D,NY-13,97.91,98.89
"Pocan, Mark",D,WI-2,97.88,99.03
"Garcia, Jesús",D,IL-4,97.33,98.98
"Pressley, Ayanna",D,MA-7,97.33,97.96
"Jayapal, Pramila",D,WA-7,97.30,99.24
"DeSaulnier, Mark",D,CA-11,97.13,98.92
"Bowman, Jamaal",D,NY-16,96.91,98.30
"Williams, Nikema",D,GA-5,96.91,98.73
"Jacobs, Sara",D,CA-53,96.88,98.72
"McGovern, Jim",D,MA-2,96.86,97.45
"Gomez, Jimmy",D,CA-34,96.78,98.68
"Chu, Judy",D,CA-27,96.62,98.23
"Schakowsky, Jan",D,IL-9,96.60,98.15
"Neguse, Joe",D,CO-2,96.26,98.98
"Clarke, Yvette1",D,NY-9,96.25,98.28
"Clark, Katherine",D,MA-5,96.25,98.74
"Grijalva, Raul",D,AZ-3,96.24,98.04
"Khanna, Ro",D,CA-17,96.12,98.77
"Auchincloss, Jake",D,MA-4,95.88,98.29
"Bush, Cori",D,MO-1,95.88,98.30
"Leger Fernandez, Teresa",D,NM-3,95.88,98.29
"Velazquez, Nydia",D,NY-7,95.73,96.96
"Stansbury, Melanie",D,NM-1,95.45,98.36
"Lee, Barbara",D,CA-13,95.32,97.53
"Watson Coleman, Bonnie",D,NJ-12,95.32,98.70
"Lowenthal, Alan",D,CA-47,95.29,98.15
"Ocasio-Cortez, Alexandria",D,NY-14,95.19,96.73
"Nadler, Jerry",D,NY-10,94.91,96.70
"Sanchez, Linda",D,CA-38,94.89,97.31
"Escobar, Veronica",D,TX-16,94.65,98.64
"Omar, Ilhan",D,MN-5,94.65,97.14
"Tlaib, Rashida",D,MI-13,94.65,97.29
"Bass, Karen",D,CA-37,94.06,97.45
"Trahan, Lori",D,MA-3,93.58,98.53
"Pelosi, Nancy3",D,CA-12,93.58,94.95
"Barragán, Nanette",D,CA-44,93.35,97.81
"Takano, Mark",D,CA-41,93.33,97.84
"Roybal-Allard, Lucille",D,CA-40,93.31,95.61
"Pingree, Chellie",D,ME-1,93.11,97.25
"Moore, Gwen",D,WI-4,93.04,97.10
"Bonamici, Suzanne",D,OR-1,93.00,97.31
"Huffman, Jared",D,CA-2,93.00,97.75
"Davis, Danny",D,IL-7,92.97,96.08
"Waters, Maxine",D,CA-43,92.89,95.74
"Napolitano, Grace",D,CA-32,92.50,95.84
"Payne, Donald",D,NJ-10,92.43,97.24
"Jeffries, Hakeem",D,NY-8,92.39,97.27
"Garcia, Sylvia",D,TX-29,91.98,97.29
"Evans, Dwight",D,PA-3,91.96,97.68
"Kahele, Kai",D,HI-2,91.75,96.61
"Strickland, Marilyn",D,WA-10,91.75,96.61
"Manning, Kathy",D,NC-6,91.67,96.60
"Dean, Madeleine",D,PA-4,91.44,98.20
"Carter, Troy",D,LA-2,91.38,96.45
"Kelly, Robin",D,IL-2,91.01,96.93
"DeGette, Diana",D,CO-1,90.77,95.01
"Mrvan, Frank",D,IN-1,90.72,96.17
"Cicilline, David",D,RI-1,90.50,96.50
"Tonko, Paul",D,NY-20,90.43,96.60
"Hayes, Jahana",D,CT-5,90.32,97.94
"Mfume, Kweisi",D,MD-7,90.30,94.08
"Cohen, Steve",D,TN-9,90.25,96.21
"Matsui, Doris",D,CA-6,90.23,96.38
"Scanlon, Mary Gay",D,PA-5,90.10,97.79
"Gallego, Ruben",D,AZ-7,90.02,97.01
"Kildee, Dan",D,MI-5,90.01,96.67
"Sarbanes, John",D,MD-3,89.97,96.79
"Welch, Peter",D,VT-AL,89.97,96.23
"Blumenauer, Earl",D,OR-3,89.80,94.17
"Ross, Deborah",D,NC-2,89.69,95.76
"Rush, Bobby",D,IL-1,89.37,94.09
"McCollum, Betty",D,MN-4,88.96,95.12
"Adams, Alma",D,NC-12,88.96,96.74
"Dingell, Debbie",D,MI-12,88.93,96.90
"Lawrence, Brenda",D,MI-14,88.82,96.82
"Wilson, Frederica",D,FL-24,88.61,95.80
"Meng, Grace",D,NY-6,87.92,96.15
"DeLauro, Rosa",D,CT-3,87.91,93.62
"Doggett, Lloyd",D,TX-35,87.88,92.76
"Pallone, Frank",D,NJ-6,87.73,93.47
"Lofgren, Zoe",D,CA-19,87.59,92.69
"Yarmuth, John",D,KY-3,87.43,96.04
"Lieu, Ted",D,CA-33,87.37,96.42
"Maloney, Carolyn",D,NY-12,86.95,92.98
"Eshoo, Anna",D,CA-18,86.89,93.03
"Johnson, Hank",D,GA-4,86.85,95.87
"Casten, Sean",D,IL-6,86.63,97.07
"Speier, Jackie",D,CA-14,86.42,95.35
"Jackson-Lee, Sheila",D,TX-18,86.36,92.36
"Frankel, Lois",D,FL-21,86.20,95.71
"Stanton, Greg",D,AZ-9,86.10,97.07
"Neal, Richard",D,MA-1,86.07,92.94
"Deutch, Ted",D,FL-22,86.00,95.10
"Beyer, Don",D,VA-8,85.98,96.07
"Beatty, Joyce",D,OH-3,85.91,95.51
"Carson, André",D,IN-7,85.82,95.19
"Larson, John",D,CT-1,85.69,93.26
"Cleaver, Emanuel",D,MO-5,85.66,94.63
"Scott, Bobby",D,VA-3,85.62,92.43
"Blunt Rochester, Lisa",D,DE-AL,85.37,96.13
"Castro, Joaquin",D,TX-20,85.25,95.45
"Castor, Kathy",D,FL-14,85.07,94.92
"Levin, Mike",D,CA-49,85.03,96.85
"Bourdeaux, Carolyn",D,GA-7,84.54,93.22
"Morelle, Joseph",D,NY-25,84.38,96.38
"Johnson, Eddie",D,TX-30,84.28,91.77
"Soto, Darren",D,FL-9,83.88,95.90
"Quigley, Mike",D,IL-5,83.86,94.36
"Schiff, Adam",D,CA-28,83.58,93.12
"Meeks, Gregory",D,NY-5,83.40,92.31
"DeFazio, Peter",D,OR-4,83.16,90.77
"Vargas, Juan",D,CA-51,83.10,94.76
"Cartwright, Matt",D,PA-8,82.92,94.94
"Thompson, Mike",D,CA-5,82.56,92.21
"Wasserman Schultz, Debbie",D,FL-23,82.52,94.00
"Thompson, Bennie",D,MS-2,82.48,91.30
"Brown, Anthony",D,MD-4,82.48,95.67
"Sherman, Brad",D,CA-30,82.46,91.17
"Boyle, Brendan",D,PA-2,82.34,95.29
"Clyburn, Jim",D,SC-6,82.33,91.29
"Swalwell, Eric",D,CA-15,82.13,94.74
"Krishnamoorthi, Raja",D,IL-8,82.09,95.58
"Trone, David",D,MD-6,81.82,95.80
"Wexton, Jennifer",D,VA-10,81.82,96.17
